recipe_id,ingredients_clean,attr_301,attr_205,attr_601,attr_208,attr_606,attr_204,attr_605,attr_303,attr_291,attr_306,attr_307,attr_203,attr_269,attr_539,attr_324,attr_299,attr_1001,attr_1006,attr_1002,attr_290,attr_261,attr_260,attr_1003,attr_1004,attr_1005,attr_513,attr_221,attr_511,attr_207,attr_514,attr_454,attr_262,attr_639,attr_322,attr_321,attr_326,attr_421,attr_334,attr_312,attr_507,attr_268,attr_325,attr_610,attr_611,attr_696,attr_612,attr_625,attr_652,attr_697,attr_613,attr_626,attr_673,attr_662,attr_653,attr_687,attr_614,attr_617,attr_674,attr_663,attr_859,attr_618,attr_670,attr_675,attr_669,attr_619,attr_851,attr_685,attr_627,attr_615,attr_628,attr_672,attr_689,attr_852,attr_853,attr_620,attr_855,attr_629,attr_857,attr_624,attr_630,attr_858,attr_631,attr_621,attr_654,attr_671,attr_607,attr_608,attr_609,attr_645,attr_646,attr_693,attr_695,attr_313,attr_417,attr_431,attr_435,attr_432,attr_212,attr_287,attr_515,attr_211,attr_516,attr_512,attr_521,attr_503,attr_213,attr_504,attr_338,attr_337,attr_505,attr_214,attr_506,attr_304,attr_428,attr_315,attr_406,attr_573,attr_578,attr_257,attr_664,attr_676,attr_856,attr_665,attr_666,attr_305,attr_410,attr_508,attr_636,attr_517,attr_319,attr_405,attr_317,attr_518,attr_641,attr_209,attr_638,attr_210,attr_263,attr_404,attr_502,attr_323,attr_341,attr_343,attr_342,attr_501,attr_509,attr_510,attr_318,attr_320,attr_418,attr_415,attr_401,attr_328,attr_430,attr_429,attr_255,attr_309,attr_344,attr_345,attr_346,attr_347
42,"[{""food_id"": 1, ""measure_id"": 6, ""unit_amount"": 46.0}, {""food_id"": 2, ""measure_id"": 13, ""unit_amount"": 4.0}, {""food_id"": 3, ""measure_id"": 48, ""unit_amount"": 1.0}, {""food_id"": 4, ""measure_id"": 51, ""unit_amount"": 2.0}, {""food_id"": 5, ""measure_id"": 75, ""unit_amount"": 1.0}]",358.5033,88.5412,0.0,409.2567,0.491,4.8358,0.0,7.6064,19.2293,4244.4733,3727.1433,18.5723,55.9376,0,0.0,0,0,0,0,0,0,0,0,0,0,0.2692,0.0,0.445,19.1531,0.7564,1.799,0.0,0.0,2851.77,10719.91,0.0,148.7317,0.0,0.7603,0.109,1719.12,0.0,0.0,0.0,0.0,0.0194,0.0,0.014,0.0,0.406,0.0026,0.0,0.0,0.0,0.0,0.0519,0.179,0.0698,0.0,0.0,0.5461,0.0,0.307,0.0,0.0758,0.0698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816,0.6217,0.0,0.0,107.236,488.0767,0.0,488.0767,488.0767,25.3961,0.4848,1.5987,25.7894,0.1812,0.1291,0.0,0.1928,0.0,0.2708,1425.07,126097.0633,0.2899,0.0318,0.0613,223.2367,0.0,1.8165,11.3621,0,0,0,0.0,0.0,0,0,0,431.5833,1.2737,0.1977,57.54,0.2267,0.0,1.3487,8.9637,0.2545,0.0,1.1297,0.0,4.2603,0.0,1.7132,0.3055,5.7582,0.1474,0.0,0.2791,0.069,0.1189,0.2385,20244.07,1018.6967,0.0,1.6867,1110.4487,0.0,314.2337,0.0,1872.2489,2.6152,0.1892,0.0,0.0,0.0
45,"[{""food_id"": 6, ""measure_id"": 92, ""unit_amount"": 0.75}, {""food_id"": 7, ""measure_id"": 124, ""unit_amount"": 1.0}, {""food_id"": 8, ""measure_id"": 147, ""unit_amount"": 1.0}, {""food_id"": 9, ""measure_id"": 150, ""unit_amount"": 2.0}, {""food_id"": 10, ""measure_id"": 165, ""unit_amount"": 3.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.25}, {""food_id"": 12, ""measure_id"": 217, ""unit_amount"": 1.0}, {""food_id"": 13, ""measure_id"": 222, ""unit_amount"": 0.5}, {""food_id"": 14, ""measure_id"": 227, ""unit_amount"": 0.5}, {""food_id"": 7, ""measure_id"": 124, ""unit_amount"": 2.0}]",443.0984,300.5524,195.8,1827.2841,12.8749,57.1855,6.3825,11.088,4.5556,1046.1459,1938.5182,33.2329,195.1787,0,43.45,0,0,0,0,0,0,0,0,0,0,1.376,0.0,1.4097,8.8492,2.5463,16.8246,0.0,0.0,0.0,263.7497,1.0,211.1658,4.5,0.5402,0.5618,7646.9488,0.0,0.0592,0.0666,0.0,0.3128,0.0035,0.0057,0.0,7.2011,0.1748,0.122,0.0015,0.0148,0.0081,4.7531,25.8501,13.1377,6.0689,0.0,13.8631,0.0085,11.9186,0.0,1.2738,0.2696,0.0161,0.0,0.0158,0.0849,0.0107,0.0115,0.0005,0.011,0.0961,0.0,0.0,0.0,0.015,0.0004,0.0065,0.0061,0.029,0.0055,0.0004,0.0748,0.0417,0.0284,26.1637,15.3002,0.0294,0.0127,10.3773,218.5844,159.3218,331.0889,60.3967,0.462,0.0462,6.5673,0.8462,0.9516,0.7741,0.0,1.5149,0.0462,2.5778,290.3268,0.0,1.9412,0.0462,0.816,119.0233,0.0,2.3848,7.1754,0,0,0,0.0004,0.0,0,0,0,526.2136,2.2757,1.6319,0.0,2.3189,438.874,1.521,50.7261,1.9518,0.0,19.5552,0.0,159.3306,0.0,0.6322,1.1615,6.2281,0.167,0.7305,2.9284,0.3894,1.2137,1.8731,1911.3893,463.0404,1.086,0.3624,2.5352,1.0,48.9069,0.05,333.9846,2.9012,0.1103,0.6133,0.005,0.0
46,"[{""food_id"": 15, ""measure_id"": 237, ""unit_amount"": 0.5}, {""food_id"": 16, ""measure_id"": 246, ""unit_amount"": 5.0}, {""food_id"": 17, ""measure_id"": 253, ""unit_amount"": 2.0}, {""food_id"": 18, ""measure_id"": 257, ""unit_amount"": 1.0}, {""food_id"": 19, ""measure_id"": 264, ""unit_amount"": 1.0}, {""food_id"": 20, ""measure_id"": 270, ""unit_amount"": 1.0}]",178.453,55.2962,0.0,248.4367,0.3825,1.1541,0.0,3.1574,6.055,1609.5716,26.5302,7.1922,32.1144,0,0.0,0,0,0,0,0,0,0,0,0,0,0.2638,0.0,0.4784,4.1404,0.4583,1.005,0.0,0.0,114.3188,484.4063,0.0,65.7874,267.2063,0.4659,0.0402,1062.6976,0.0,0.0002,0.0004,0.0,0.0509,0.0,0.0,0.0,0.2885,0.0003,0.0002,0.0,0.0001,0.0,0.0517,0.0546,0.0014,0.0,0.0,0.2948,0.0,0.0035,0.0,0.0543,0.0028,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0549,0.339,0.0,0.0,13.065,79.9088,0.0,79.9088,79.9088,8.8914,0.0,2.0732,7.7213,0.266,0.1091,0.0,0.2323,0.0,0.3213,281.1813,0.0,0.3165,0.1005,0.0657,138.8531,0.0,0.9552,1.1744,0,0,0,0.0,0.0,0,0,0,264.4371,2.7158,0.2072,141.7,0.1838,0.0,0.3551,3.9268,0.2236,0.0,8.3415,0.0,13.407,0.0,0.2966,0.2106,0.6039,0.1101,0.0006,0.3043,0.0559,0.125,0.2431,1116.6875,53.2875,0.0,0.52,36.7213,0.0,166.0439,0.0,1096.6645,2.1526,0.4031,0.0,0.0,0.0
47,"[{""food_id"": 21, ""measure_id"": 280, ""unit_amount"": 0.75}, {""food_id"": 22, ""measure_id"": 301, ""unit_amount"": 0.5}, {""food_id"": 23, ""measure_id"": 339, ""unit_amount"": 1.0}, {""food_id"": 24, ""measure_id"": 341, ""unit_amount"": 1.0}, {""food_id"": 25, ""measure_id"": 352, ""unit_amount"": 1.0}, {""food_id"": 10, ""measure_id"": 161, ""unit_amount"": 2.0}, {""food_id"": 26, ""measure_id"": 369, ""unit_amount"": 1.0}]",494.1392,356.9525,550.4875,5727.4238,117.4976,471.5044,5.5808,24.2335,50.2948,2314.5783,1133.929,71.6748,120.4782,0,37.06,0,0,0,0,0,0,0,0,0,0,2.8223,1.4754,6.6209,12.2396,5.6739,179.6802,0.0,27.2155,6.46,415.4967,0.918,383.2446,46.4333,5.8631,1.2955,23952.0057,0.0,4.3071,4.4059,0.0,12.6775,0.0041,0.0022,0.0,58.2793,1.7922,1.6361,0.0,0.9621,0.0,25.3669,220.1517,28.9051,5.0769,0.0,99.7905,0.4546,3.6876,0.0,5.0812,0.5363,0.0,0.0,0.5534,1.1238,0.0,0.0,0.0,0.0,0.0745,0.0,0.0019,0.0,0.0065,0.0015,0.0,0.0,0.0194,0.0015,0.0,5.4923,3.4169,2.0275,223.0718,104.9675,5.0769,0.5039,50.1262,588.1302,385.0,858.1302,203.1302,1.2062,0.0119,17.6317,1.4439,3.096,1.8733,0.0,2.6506,0.0119,4.8666,308.0906,0.0,2.1928,0.0119,1.3877,616.8285,0.0,22.1948,20.2476,0,0,0,0.0,0.0,0,0,0,1637.5172,5.8271,3.4179,0.0,4.8909,1205.4475,1.9789,114.3793,3.7437,537.5127,2.0865,13.6078,116.5129,0.0,4.9951,2.272,10.8887,1.9525,2.1921,112.034,0.7898,1.9403,3.1601,4753.699,1242.8878,0.6209,1.1656,4.9895,0.918,28.6622,0.017,85.1582,22.8753,0.0551,0.225,0.0,0.0
48,"[{""food_id"": 7, ""measure_id"": 122, ""unit_amount"": 0.5}, {""food_id"": 27, ""measure_id"": 376, ""unit_amount"": 2.25}, {""food_id"": 28, ""measure_id"": 384, ""unit_amount"": 3.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 1.0}, {""food_id"": 6, ""measure_id"": 92, ""unit_amount"": 1.5}, {""food_id"": 29, ""measure_id"": 398, ""unit_amount"": 0.33}, {""food_id"": 30, ""measure_id"": 408, ""unit_amount"": 1.5}, {""food_id"": 31, ""measure_id"": 429, ""unit_amount"": 2.0}, {""food_id"": 32, ""measure_id"": 431, ""unit_amount"": 1.0}, {""food_id"": 6, ""measure_id"": 92, ""unit_amount"": 0.33}, {""food_id"": 33, ""measure_id"": 450, ""unit_amount"": 1.0}, {""food_id"": 32, ""measure_id"": 431, ""unit_amount"": 1.5}, {""food_id"": 24, ""measure_id"": 341, ""unit_amount"": 1.0}, {""food_id"": 34, ""measure_id"": 462, ""unit_amount"": 0.5}, {""food_id"": 10, ""measure_id"": 165, ""unit_amount"": 1.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.25}, {""food_id"": 30, ""measure_id"": 408, ""unit_amount"": 1.0}, {""food_id"": 35, ""measure_id"": 472, ""unit_amount"": 1.5}, {""food_id"": 21, ""measure_id"": 273, ""unit_amount"": 2.0}, {""food_id"": 30, ""measure_id"": 408, ""unit_amount"": 1.0}]",1803.9615,672.207,801.6036,5492.8852,90.5915,282.5715,20.425,34.6367,12.61,1868.8845,4782.4685,71.3917,403.3535,0,492.93,0,0,0,0,0,0,0,0,0,0,2.6676,5.1639,3.0156,28.0379,5.2156,12.6261,34.02,154.8467,6.46,862.2423,12.142,625.0133,14.61,1.9932,1.1211,22982.1948,0.0,2.1013,2.3209,0.0122,7.297,0.512,0.5523,0.0244,42.1587,1.8895,1.5489,0.1327,0.5492,0.1199,25.987,126.111,105.503,18.5648,0.0,42.5678,0.3115,38.5484,0.0,4.7105,1.8993,0.0144,0.0,0.8613,1.307,0.0275,0.0901,0.0034,0.0684,0.3315,0.0,0.0126,0.0,0.2763,0.1833,0.0249,0.0376,0.0774,0.1194,0.1072,2.2606,1.5384,0.9223,130.2756,47.8876,2.5952,0.9296,26.3413,708.6155,437.4163,1012.973,268.1167,0.0729,0.1339,16.6901,0.4616,2.0965,1.6995,0.0,3.2113,34.0477,5.6092,715.7933,0.0,4.0658,0.0729,1.5592,288.184,0.0,3.9713,22.7859,0,0,0,0.0,0.0036,0,0,0,1651.8566,6.3559,3.4661,0.0,6.2771,2102.6801,3.4411,82.9756,4.1336,352.181,0.0,16.1595,365.7279,551.5492,3.2195,2.5733,29.9911,0.0548,0.0718,19.8818,0.9642,2.7313,3.9771,8462.7386,2173.0955,4.8067,0.6346,2.161,12.142,118.0622,0.117,770.6714,11.0475,0.1738,0.007,0.01,0.0
49,"[{""food_id"": 36, ""measure_id"": 484, ""unit_amount"": 2.0}, {""food_id"": 21, ""measure_id"": 273, ""unit_amount"": 2.0}, {""food_id"": 37, ""measure_id"": 514, ""unit_amount"": 12.0}, {""food_id"": 10, ""measure_id"": 161, ""unit_amount"": 0.5}, {""food_id"": 21, ""measure_id"": 280, ""unit_amount"": 0.33}, {""food_id"": 38, ""measure_id"": 518, ""unit_amount"": 0.75}, {""food_id"": 39, ""measure_id"": 526, ""unit_amount"": 0.5}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.5}, {""food_id"": 40, ""measure_id"": 534, ""unit_amount"": 0.5}, {""food_id"": 41, ""measure_id"": 553, ""unit_amount"": 0.5}, {""food_id"": 42, ""measure_id"": 564, ""unit_amount"": 0.25}]",900.9532,74.4615,1967.4596,4205.2264,81.0811,171.0986,3.9829,13.7558,3.9108,8545.1187,5564.6301,551.2494,7.7851,0,53.1533,0,0,0,0,0,0,0,0,0,0,31.1752,5.7684,35.8115,40.6598,50.58,219.3907,0.0,3.1467,0.0,382.3751,0.474,1942.2507,0.0,1.5152,5.626,17570.959,0.3147,3.6399,3.5124,0.0,10.3233,0.1825,0.188,0.0,38.2251,3.3944,3.0186,0.039,0.7205,0.0679,15.9291,40.4654,33.6677,3.5294,0.0,11.3841,0.3665,9.8621,0.0,0.8963,0.6712,0.001,0.0,0.1883,0.3546,0.1391,0.2857,0.001,0.2852,1.1086,0.0,0.068,0.0,0.074,0.0005,0.2983,0.1436,0.0907,0.0045,0.0,4.0297,2.5339,1.5056,44.6714,14.4205,3.5684,0.4144,2.947,373.0086,96.25,440.5086,276.7586,0.3515,0.119,84.2938,2.6421,23.5758,19.9851,0.0,26.8165,0.0392,45.3493,295.5,0.0,51.1006,0.0448,14.1216,716.9683,194.062,0.8635,227.8134,0,0,0,0.0,0.0005,0,0,0,5610.6281,36.9721,22.4444,0.0,20.2237,1122.1862,5.4394,581.6768,21.2565,4.1319,0.0,0.0,0.0168,0.0,2.8249,24.3734,15.7092,0.0595,0.0282,2.2994,7.0502,20.1347,28.7986,4379.1045,1154.4149,7.0031,18.6993,8.004,0.7887,61.3063,1.5733,2184.3143,20.8334,0.0912,0.0563,0.0,0.0
50,"[{""food_id"": 10, ""measure_id"": 161, ""unit_amount"": 3.75}, {""food_id"": 6, ""measure_id"": 92, ""unit_amount"": 2.0}, {""food_id"": 28, ""measure_id"": 384, ""unit_amount"": 1.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.25}, {""food_id"": 43, ""measure_id"": 573, ""unit_amount"": 4.0}, {""food_id"": 30, ""measure_id"": 408, ""unit_amount"": 1.0}, {""food_id"": 44, ""measure_id"": 576, ""unit_amount"": 0.5}, {""food_id"": 45, ""measure_id"": 585, ""unit_amount"": 1.67}, {""food_id"": 46, ""measure_id"": 603, ""unit_amount"": 1.0}, {""food_id"": 47, ""measure_id"": 612, ""unit_amount"": 1.0}]",1103.4244,809.9308,930.0,5010.8668,17.9726,149.4564,0.1111,35.4404,37.7856,2508.2928,2533.1658,128.1302,413.4048,0,205.0,0,0,0,0,0,0,0,0,0,0,5.6777,2.2131,9.6371,16.4471,11.3904,330.2813,0.0,9.2184,0.0,2.3046,5.0,903.3197,22.5,3.4218,2.1998,20962.4054,0.0,0.015,0.0,0.0,0.1263,0.0175,0.02,0.0,13.9874,1.0994,0.495,0.0075,0.0827,0.1614,3.6827,84.4207,83.941,0.069,0.0,35.5536,0.03,33.6606,0.0,0.2462,0.1038,0.03,0.0,0.0259,0.0836,0.045,0.0575,0.0025,0.055,0.47,0.0,0.0,0.0,0.01,0.0,0.0325,0.0175,0.145,0.0,0.0,0.01,0.0,0.01,85.7804,36.5698,0.065,0.03,6.2888,1102.0655,721.875,1608.3155,380.1905,0.0231,0.0,34.6705,0.9481,6.0847,3.0813,0.0922,5.0678,0.0,9.4101,1344.1796,0.0,4.6463,0.2074,2.165,778.1853,0.0,8.4435,36.2716,0,0,0,0.0,0.0,0,0,0,2187.8886,6.6277,6.7233,0.0,9.1103,400.0,6.2988,242.6761,6.9297,281.1612,1.6824,9.2184,410.1469,0.0,3.9579,4.0784,57.9862,1.0906,0.4512,4.6906,1.4945,3.7379,6.0446,1352.3046,400.0,2.225,0.9464,0.0,5.0,2.1563,0.25,260.4264,14.184,0.2438,0.4219,0.025,0.0
52,"[{""food_id"": 48, ""measure_id"": 653, ""unit_amount"": 0.5}, {""food_id"": 6, ""measure_id"": 92, ""unit_amount"": 0.75}, {""food_id"": 49, ""measure_id"": 667, ""unit_amount"": 1.0}, {""food_id"": 50, ""measure_id"": 682, ""unit_amount"": 0.5}]",884.4749,204.248,12.3927,912.6676,0.369,0.6177,0.0,1.3548,0.106,2027.3867,388.3882,27.1088,185.632,0,302.9333,0,0,0,0,0,0,0,0,0,0,0.9135,0.0,0.8878,7.6635,1.9481,0.0,754.08,0.0,0.0,0.6885,7.5733,139.9838,0.0,0.073,0.2723,3818.0488,0.0,0.0117,0.009,0.0,0.0537,0.0,0.0,0.0,0.1867,0.0146,0.0,0.0,0.0,0.0,0.0635,0.1173,0.0,0.0,0.0,0.0559,0.0,0.0,0.0,0.0113,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0041,0.0048,0.139,0.0667,0.0,0.0,0.0,34.7242,0.0,34.7242,34.7242,0.0,0.0,5.5476,0.0,0.6173,0.695,0.0,1.5036,0.0,2.4817,0.0,0.0,1.9397,0.0,0.6114,159.2527,0.0,0.4307,7.3839,0,0,0,0.0,0.0,0,0,0,751.0876,2.2555,1.2292,0.34,2.4251,488.1358,1.2479,22.7296,1.3445,0.0,0.0,0.0,149.7,0.0,0.2874,1.1247,0.0094,0.0,0.0,0.0,0.348,1.2059,1.6835,1632.4667,488.3458,2.7471,0.2463,5.2155,7.5733,0.456,0.0,4.2254,3.1377,0.0,0.0,0.0,0.0
54,"[{""food_id"": 4, ""measure_id"": 64, ""unit_amount"": 3.0}, {""food_id"": 31, ""measure_id"": 429, ""unit_amount"": 4.0}, {""food_id"": 51, ""measure_id"": 683, ""unit_amount"": 1.25}, {""food_id"": 52, ""measure_id"": 695, ""unit_amount"": 2.0}, {""food_id"": 53, ""measure_id"": 700, ""unit_amount"": 2.0}, {""food_id"": 28, ""measure_id"": 384, ""unit_amount"": 2.0}, {""food_id"": 54, ""measure_id"": 720, ""unit_amount"": 2.0}, {""food_id"": 55, ""measure_id"": 734, ""unit_amount"": 1.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 1.0}, {""food_id"": 56, ""measure_id"": 742, ""unit_amount"": 0.5}, {""food_id"": 57, ""measure_id"": 762, ""unit_amount"": 1.0}, {""food_id"": 58, ""measure_id"": 773, ""unit_amount"": 1.25}, {""food_id"": 59, ""measure_id"": 786, ""unit_amount"": 3.0}, {""food_id"": 60, ""measure_id"": 793, ""unit_amount"": 1.0}, {""food_id"": 25, ""measure_id"": 352, ""unit_amount"": 0.5}]",1011.4136,913.861,829.9005,6685.8612,66.0602,325.3265,1.9236,20.6703,24.6647,2995.6556,6451.0831,64.9493,664.0973,0,164.0,0,0,0,0,0,0,0,0,0,0,2.8676,0.7377,3.2143,25.6951,4.8781,178.4868,0.0,0.0,12518.0765,29879.4088,4.0,686.5493,23.803,1.306,1.4275,27977.2724,0.0,0.7503,0.8583,0.0,3.2282,0.3083,0.3086,0.0,42.2257,1.0469,0.9251,0.0979,0.3517,0.0818,15.4487,75.2563,74.1909,0.757,0.0,142.7635,0.1771,140.32,0.0,19.4857,17.9919,0.0257,0.0009,0.7038,0.4654,0.042,0.0792,0.0037,0.0746,0.4211,0.0,0.0085,0.0,0.7339,0.0017,0.0328,0.031,0.116,0.0068,0.0,0.6187,0.5035,0.3193,77.163,162.9846,0.052,2.0664,13.8291,633.2218,385.0,903.2218,248.2218,2.0089,0.0,14.4798,2.891,2.0866,1.4888,0.0,2.7911,3.1979,4.8796,1984.3255,3.99,3.2461,0.0,1.454,190.751,7.3994,3.2825,20.3547,0,0,0,0.0,0.0017,0,0,0,1267.0322,5.8106,3.1309,682.6287,4.7899,577.7015,2.9554,158.4269,3.7496,0.0,7.1782,0.0,412.1245,0.0,2.3296,2.7038,27.8942,0.231,0.1768,2.5761,0.7547,2.194,3.3437,62175.3315,3588.4007,1.9671,1.5016,26.3328,4.0,558.0198,0.2,575.1995,6.3452,0.24,0.225,0.02,0.0
55,"[{""food_id"": 61, ""measure_id"": 801, ""unit_amount"": 5.0}, {""food_id"": 62, ""measure_id"": 820, ""unit_amount"": 1.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.5}, {""food_id"": 63, ""measure_id"": 844, ""unit_amount"": 4.0}, {""food_id"": 64, ""measure_id"": 856, ""unit_amount"": 0.25}]",163.7448,99.5725,0.0,1663.145,21.4162,147.6814,0.0,6.1271,69.305,5284.8833,1137.1975,22.1997,11.0104,0,0.0,0,0,0,0,0,0,0,0,0,0,1.159,0.0,0.9954,19.5845,2.6656,7.279,0.0,50.25,365.43,1194.12,0.0,156.8205,281.4,2.0351,0.2915,6962.2,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,20.8936,7.0173,0.0,0.0,0.0,0.1005,0.5023,91.1557,0.0,0.0,0.0,16.9587,0.0,0.0,0.0,1.2672,1.1156,0.1508,0.0,0.0,0.2513,0.0,0.1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,98.5242,18.3967,0.0,0.0,73.2336,838.91,0.0,838.91,838.91,3.2602,1.005,3.5516,5.619,1.0993,0.5245,0.0,0.8935,0.0,1.5147,2876.76,3164.79,1.4023,0.0,0.3996,312.8473,0.0,1.7815,18.3674,0,0,0,0.0,0.0,0,0,0,578.95,14.2149,1.0368,8.61,1.0336,0.0,1.3522,5.7872,1.2217,763.8,1.1055,20.1,0.8934,0.0,0.758,0.7869,21.6104,0.5148,0.201,3.4641,0.2678,0.5206,1.1391,2523.22,123.22,0.0,2.8525,139.245,0.0,221.334,0.0,914.1842,6.8314,0.1431,0.0,0.0,0.0
58,"[{""food_id"": 65, ""measure_id"": 864, ""unit_amount"": 1.5}, {""food_id"": 51, ""measure_id"": 689, ""unit_amount"": 1.0}, {""food_id"": 66, ""measure_id"": 868, ""unit_amount"": 1.0}, {""food_id"": 11, ""measure_id"": 180, ""unit_amount"": 0.5}, {""food_id"": 67, ""measure_id"": 878, ""unit_amount"": 0.5}, {""food_id"": 68, ""measure_id"": 894, ""unit_amount"": 1.0}, {""food_id"": 69, ""measure_id"": 909, ""unit_amount"": 0.5}, {""food_id"": 70, ""measure_id"": 919, ""unit_amount"": 5.5}, {""food_id"": 71, ""measure_id"": 926, ""unit_amount"": 1.0}, {""food_id"": 72, ""measure_id"": 932, ""unit_amount"": 8.0}]",430.6319,91.7982,449.064,2226.3641,49.7192,132.3952,0.0922,25.5358,27.8277,4439.241,2835.3818,142.7398,47.0891,0,0.0,0,0,0,0,0,0,0,0,0,0,8.1419,12.348,8.7799,17.8014,13.0211,79.1601,0.0,0.0,22890.2665,40126.565,0.0,636.3953,0.6499,1.3767,1.5471,9302.7312,0.0,0.342,0.288,0.0,3.7252,0.0002,0.0,0.0,30.2555,5.8237,0.0034,0.0,0.0064,0.0,14.9571,47.9463,3.0764,0.0,0.0,10.2106,0.0,6.8161,0.0,2.3458,0.8906,0.0,0.0,0.0329,0.1539,0.0,0.0016,0.0,0.0,0.2041,0.0,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0039,53.9241,12.7644,0.0,0.0922,224.8038,348.8407,0.0,348.8407,348.8407,8.8491,0.0016,21.6872,10.5655,7.3006,4.504,0.0,6.326,0.0,10.8482,3880.0265,0.2075,11.3276,0.0,3.3189,275.0927,0.0,2.0873,28.8954,0,0,0,0.0,0.0,0,0,0,1592.0018,6.6336,5.3803,69.4033,5.9421,0.0,1.6033,105.1605,5.3675,0.0,0.0,0.0,18.6025,0.0,1.3138,6.0152,2.1397,0.0,0.0,0.0681,1.5709,4.6296,7.0789,85949.7938,4299.5004,20.2398,3.9455,168.4449,0.0,161.4343,0.0,1699.5362,27.6127,0.0955,0.0,0.0,0.0
62,"[{""food_id"": 73, ""measure_id"": 934, ""unit_amount"": 3.0}, {""food_id"": 74, ""measure_id"": 950, ""unit_amount"": 2.0}, {""food_id"": 75, ""measure_id"": 959, ""unit_amount"": 15.0}, {""food_id"": 76, ""measure_id"": 967, ""unit_amount"": 1.0}, {""food_id"": 77, ""measure_id"": 990, ""unit_amount"": 1.0}, {""food_id"": 78, ""measure_id"": 995, ""unit_amount"": 1.0}, {""food_id"": 79, ""measure_id"": 1000, ""unit_amount"": 2.0}, {""food_id"": 80, ""measure_id"": 1019, ""unit_amount"": 1.0}, {""food_id"": 81, ""measure_id"": 1027, ""unit_amount"": 4.0}]",204.9065,110.1877,0.0,805.5949,4.4121,30.9415,0.0,10.5483,35.1291,2057.1943,1648.2089,32.7513,11.5154,0,0.0,0,0,0,0,0,0,0,0,0,0,1.6943,0.0,1.6814,8.4365,3.8026,0.149,0.0,0.0,96.89,2064.997,0.0,155.5041,248.6884,0.9672,0.2904,3365.8165,0.0,0.0092,0.0005,0.0,0.0018,0.0009,0.0005,0.0,3.6683,0.3416,0.0,0.0,0.0059,0.0338,0.5749,19.9588,0.0018,0.0,0.0,3.9013,0.0,0.0055,0.0,0.5324,0.0041,0.0,0.0,0.1118,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4194,4.4324,0.0,0.0,1.426,377.1167,0.0,377.1167,377.1167,2.8358,0.0,5.563,2.7375,1.2957,0.8698,0.0,1.4653,0.0,2.8006,2771.9326,1595.26,2.0824,0.2533,0.4571,211.8869,0.0,1.4615,5.956,0,0,0,0.0,0.0,0,0,0,622.5956,2.2092,1.8133,64.48,1.9814,0.0,0.6715,6.3395,1.9092,0.0,10.6833,0.0,4.2793,0.0,0.8173,1.2036,7.329,0.0359,0.0,0.7836,0.3584,0.8301,1.8333,3747.2248,186.615,0.0,0.5796,61.0428,0.0,247.8683,0.0,609.3578,3.6106,0.0182,0.0,0.0,0.0
